x,y,z,Bx,By,Bz
-180,147.21,37.0,153.5102,-20.0314,-8.141539999999999
-140,147.21,37.0,184.10500000000002,73.6232,-17.94112
-100,147.21,37.0,120.60280000000002,164.274,-9.300279999999999
-60,147.21,37.0,20.2532,164.17419999999998,15.866520000000001
-20,147.21,37.0,-40.415600000000005,121.52080000000001,46.0046
-20,147.21,66.8,-28.2206,95.94739999999999,44.4208
-60,147.21,66.8,6.6988,117.53340000000001,23.9664
-100,147.21,66.8,54.8754,110.103,6.22466
-140,147.21,66.8,86.43360000000001,63.794,-2.0035000000000003
-180,147.21,66.8,77.78,9.564960000000001,2.6128600000000004
-180,147.21,107.1,21.679000000000002,26.2044,5.66234
-140,147.21,107.1,23.5004,54.5568,4.412319999999999
-100,147.21,107.1,9.9137,78.65880000000001,11.220479999999998
-60,147.21,107.1,-10.25888,86.5276,24.257800000000003
-20,147.21,107.1,-26.715,78.00439999999999,39.9592
-20,147.21,146.7,-28.3616,68.256,34.291199999999996
-60,147.21,146.7,-19.8992,72.1752,20.503
-100,147.21,146.7,-10.3532,65.0178,8.236260000000001
-140,147.21,146.7,-3.31404,49.1104,3.05764
-180,147.21,146.7,-2.7323400000000007,32.589,3.7658400000000003
-180,147.21,186.8,-10.54974,34.050599999999996,0.9202
-140,147.21,186.8,-12.1264,45.2624,-0.68752
-100,147.21,186.8,-16.783399999999997,57.64699999999999,3.9987800000000004
-60,147.21,186.8,-22.603,64.4744,15.64328
-20,147.21,186.8,-28.143,61.88020000000001,29.1018
-20,147.21,226.8,-24.9118,56.6072,25.224200000000003
-60,147.21,226.8,-19.2736,58.829600000000006,12.58232
-100,147.21,226.8,-13.930439999999999,52.7018,1.45078
-140,147.21,226.8,-10.076339999999998,42.3692,-1.94206
-180,147.21,226.8,-8.63872,34.1078,0.07704
-180,147.21,266.8,-3.47908,34.2056,4.20338
-140,147.21,266.8,-4.44856,40.141,2.63366
-100,147.21,266.8,-8.09796,47.868599999999994,4.4176
-60,147.21,266.8,-14.43946,52.618199999999995,12.5884
-20,147.21,266.8,-21.326999999999998,50.5798,22.7866
-20,147.21,306.9,-18.8338,43.9842,21.512600000000003
-60,147.21,306.9,-12.232619999999999,45.531400000000005,15.65696
-100,147.21,306.9,-6.38562,42.997600000000006,10.84088
-140,147.21,306.9,-2.92492,38.32,9.238939999999998
-180,147.21,306.9,-1.7324799999999998,34.2546,10.174619999999999
-180,147.21,346.7,-2.55476,33.552600000000005,13.40654
-140,147.21,346.7,-4.2942800000000005,36.1864,13.01928
-100,147.21,346.7,-7.497580000000001,38.626,14.168820000000002
-60,147.21,346.7,-12.284339999999998,39.5242,16.9135
-20,147.21,346.7,-17.40172,38.1656,19.83706
-20,67.21,37.0,-52.481,45.22,2.65834
-60,67.21,37.0,-45.4392,82.634,-30.1568
-100,67.21,37.0,-11.07828,99.2878,-65.6686
-140,67.21,37.0,39.658,67.50580000000001,-94.7016
-180,67.21,37.0,25.822399999999995,18.2074,-90.0898
-180,67.21,67.3,11.155940000000001,31.390400000000003,-40.7406
-140,67.21,67.3,11.195439999999998,55.547599999999996,-42.6594
-100,67.21,67.3,-8.5494,72.9006,-30.1788
-60,67.21,67.3,-29.6342,68.26520000000001,-9.39534
-20,67.21,67.3,-36.955,48.733000000000004,12.345639999999998
-20,67.21,107.1,-28.610000000000003,48.5842,20.414
-60,67.21,107.1,-23.516,56.66760000000001,7.604680000000001
-100,67.21,107.1,-13.65662,57.180200000000006,-3.52198
-140,67.21,107.1,-5.51088,48.4872,-9.87474
-180,67.21,107.1,-4.05598,36.0318,-8.45386
-180,67.21,147.3,-11.91974,37.4942,5.921
-140,67.21,147.3,-12.914260000000002,44.998999999999995,4.59298
